Year,Round,Region Number,Region Name,Seed 1,Score 1,Team 1,Team 2,Score 2,Seed 2
2000,2,3,Midwest,1,66,Louisiana Tech,Vanderbilt,65,9
2000,2,3,Midwest,12,76,SMU,Old Dominion,96,4
2000,2,3,Midwest,6,68,Illinois,Iowa St,79,3
2000,2,3,Midwest,7,69,Auburn,Penn St,75,2
2000,3,3,Midwest,1,86,Louisiana Tech,Old Dominion,74,4
2000,3,3,Midwest,3,65,Iowa St,Penn St,66,2
2000,4,3,Midwest,1,65,Louisiana Tech,Penn St,86,2
2000,1,4,West,1,74,Georgia,Montana,46,16
2000,1,4,West,8,74,Michigan,Stanford,81,9
2000,1,4,West,5,62,North Carolina,Maine,57,12
2000,1,4,West,4,64,Santa Barbara,Rice,67,13
2000,1,4,West,6,79,Oregon,UAB,80,11
2000,1,4,West,3,94,Mississippi St,St Peters,60,14
2000,1,4,West,7,48,Texas,St Josephs,69,10
2000,1,4,West,2,91,Rutgers,Holy Cross,70,15
2000,2,4,West,1,83,Georgia,Stanford,64,9
2000,2,4,West,5,83,North Carolina,Rice,50,13
2000,2,4,West,11,78,UAB,Mississippi St,72,3
2000,2,4,West,10,39,St Josephs,Rutgers,59,2
2000,3,4,West,1,83,Georgia,North Carolina,57,5
2000,3,4,West,11,45,UAB,Rutgers,60,2
2000,4,4,West,1,51,Georgia,Rutgers,59,2
2000,5,0,National,1,89,Connecticut,Penn St,67,2
2000,5,0,National,1,64,Tennessee,Rutgers,54,2
2000,6,0,National,1,71,Connecticut,Tennessee,52,1
2001,1,1,East,1,101,Connecticut,Long Island Brooklyn,29,16
2001,1,1,East,8,69,Maryland,Colorado St,83,9
2001,1,1,East,5,66,Villanova,Drake,58,12
2001,1,1,East,4,76,NC State,Delaware,57,13
2001,1,1,East,6,75,Penn St,TCU,77,11
2001,1,1,East,3,84,Louisiana Tech,Georgia St,48,14
2001,1,1,East,7,68,Wisconsin,Missouri,71,10
2001,1,1,East,2,77,Georgia,Liberty,48,15
2001,2,1,East,1,89,Connecticut,Colorado St,44,9
2001,2,1,East,5,64,Villanova,NC State,68,4
2001,2,1,East,11,59,TCU,Louisiana Tech,80,3
2001,2,1,East,10,78,Missouri,Georgia,65,2
2001,3,1,East,1,72,Connecticut,NC State,58,4
2001,3,1,East,3,78,Louisiana Tech,Missouri,67,10
